timestamp,open,high,low,close,volume
2015-07-20 00:00:00+00:00,277.98,294.49,275.01,293.89,30921.44045816
2015-07-27 00:00:00+00:00,293.88,298.0,277.26,282.62,35555.54637148
2015-08-03 00:00:00+00:00,282.62,286.47,260.07,267.63,37460.17628597
2015-08-10 00:00:00+00:00,267.6,272.4,255.67,259.2,39437.18225658
2015-08-17 00:00:00+00:00,259.2,261.57,200.0,229.21,60496.37750135
2015-08-24 00:00:00+00:00,229.23,236.18,198.02,229.39,72456.99505417
2015-08-31 00:00:00+00:00,229.4,244.82,225.23,241.29,47676.10528168
2015-09-07 00:00:00+00:00,241.26,247.82,229.72,230.82,42173.67692644
2015-09-14 00:00:00+00:00,230.83,235.93,226.85,232.24,42263.09842047
2015-09-21 00:00:00+00:00,232.26,237.62,224.45,233.58,45891.211418060004
2015-09-28 00:00:00+00:00,233.53,241.05,233.53,239.87,40289.38102101
2015-10-05 00:00:00+00:00,239.87,250.0,237.5,249.02,44457.6146093
2015-10-12 00:00:00+00:00,249.01,274.81,244.86,265.0,52081.03809971
2015-10-19 00:00:00+00:00,265.0,295.93,262.05,284.97,48180.26882919
2015-10-26 00:00:00+00:00,284.97,336.97,282.04,329.46,89668.76632546
2015-11-02 00:00:00+00:00,329.45,499.99,326.07,373.83,173641.53215288
2015-11-09 00:00:00+00:00,373.84,386.96,293.32,322.93,84345.35380432999
2015-11-16 00:00:00+00:00,322.94,340.72,311.23,323.71,44359.4377744
2015-11-23 00:00:00+00:00,323.72,373.63,316.26,372.24,50252.61440466
2015-11-30 00:00:00+00:00,372.25,401.01,347.55,387.55,61138.62221246
2015-12-07 00:00:00+00:00,387.53,469.34,383.0,433.83,86679.73145594
2015-12-14 00:00:00+00:00,433.38,465.6,429.12,442.22,239234.43419744002
2015-12-21 00:00:00+00:00,442.36,460.0,410.0,424.72,50493.88143047
2015-12-28 00:00:00+00:00,424.73,437.56,418.0,431.91,35726.34682649
2016-01-04 00:00:00+00:00,431.9,464.4,428.15,449.99,46977.77397739
2016-01-11 00:00:00+00:00,449.99,452.65,350.92,378.46,81782.68047114
2016-01-18 00:00:00+00:00,378.47,425.1,369.0,403.05,62749.64667783
2016-01-25 00:00:00+00:00,403.04,403.04,363.25,367.95,50667.27307366
2016-02-01 00:00:00+00:00,367.89,390.63,365.63,377.49,48708.26437373
2016-02-08 00:00:00+00:00,377.47,406.92,360.0,406.59,55366.23227123
2016-02-15 00:00:00+00:00,406.62,448.7,390.0,438.56,49723.64981515
2016-02-22 00:00:00+00:00,438.56,440.9,410.0,433.73,45025.55543291
2016-02-29 00:00:00+00:00,433.73,442.0,381.09,403.24,65971.19301776
2016-03-07 00:00:00+00:00,403.24,421.3,395.0,412.52,49322.65000678
2016-03-14 00:00:00+00:00,412.51,419.75,399.21,411.27,44574.87186569
2016-03-21 00:00:00+00:00,411.25,426.5,406.89,425.3,35614.48070797
2016-03-28 00:00:00+00:00,425.29,425.36,407.56,420.16,36719.66704397
2016-04-04 00:00:00+00:00,420.08,424.65,415.51,423.4,34237.79589013
2016-04-11 00:00:00+00:00,423.29,434.93,420.15,431.0,34325.3130317
2016-04-18 00:00:00+00:00,431.08,465.0,428.44,464.46,43969.89493276
2016-04-25 00:00:00+00:00,464.47,472.38,434.0,456.98,49855.82094758
2016-05-02 00:00:00+00:00,456.98,465.0,440.02,462.79,36739.68489591
2016-05-09 00:00:00+00:00,462.6,465.9,448.2,461.47,36532.03700566
2016-05-16 00:00:00+00:00,461.48,461.59,435.0,442.48,40882.12702876
2016-05-23 00:00:00+00:00,442.45,549.99,440.5,525.22,56161.0898992
2016-05-30 00:00:00+00:00,525.22,594.64,519.0,575.17,48638.88783747
2016-06-06 00:00:00+00:00,575.17,687.71,475.0,677.86,56718.21024498
2016-06-13 00:00:00+00:00,677.45,785.15,650.02,768.76,81705.75416347
2016-06-20 00:00:00+00:00,768.94,768.94,544.13,638.56,104463.16724832
2016-06-27 00:00:00+00:00,638.56,705.25,630.0,663.55,44883.83737968
2016-07-04 00:00:00+00:00,664.09,683.69,608.0,652.44,51689.89709131
2016-07-11 00:00:00+00:00,652.43,680.99,640.0,680.0,53591.37714711
2016-07-18 00:00:00+00:00,680.0,684.94,647.59,661.0,31093.78487187
2016-07-25 00:00:00+00:00,660.92,664.13,621.37,626.97,33106.34723672
2016-08-01 00:00:00+00:00,626.97,629.34,483.0,595.14,65303.17110565
2016-08-08 00:00:00+00:00,595.14,601.09,565.19,574.99,34037.03782432
2016-08-15 00:00:00+00:00,574.97,583.99,561.56,581.29,27632.55792518
2016-08-22 00:00:00+00:00,581.34,586.99,568.95,575.41,26552.98200435
2016-08-29 00:00:00+00:00,575.41,617.13,568.12,611.92,32516.62351397
2016-09-05 00:00:00+00:00,611.94,631.3,591.8,607.94,28698.06426564
2016-09-12 00:00:00+00:00,607.94,611.99,603.0,611.4,25789.78021731
2016-09-19 00:00:00+00:00,611.4,612.46,592.63,601.67,25565.17125718
2016-09-26 00:00:00+00:00,601.67,617.19,600.02,612.4,27473.41745862
2016-10-03 00:00:00+00:00,612.42,620.0,606.93,617.42,28115.93128428
2016-10-10 00:00:00+00:00,617.43,647.03,615.46,641.92,25990.36656492
2016-10-17 00:00:00+00:00,642.1,658.0,625.6,651.04,28537.95614316
2016-10-24 00:00:00+00:00,651.05,725.64,645.81,697.41,35893.74283569
2016-10-31 00:00:00+00:00,697.39,746.16,672.06,717.02,38053.85031734
2016-11-07 00:00:00+00:00,717.04,747.26,685.7,704.01,35696.33628369
2016-11-14 00:00:00+00:00,704.01,753.81,671.23,731.99,31888.04558327
2016-11-21 00:00:00+00:00,731.72,748.77,726.0,729.24,22908.58572439
2016-11-28 00:00:00+00:00,729.24,780.0,728.2,767.99,27793.47804384
2016-12-05 00:00:00+00:00,767.94,776.99,748.6,771.05,29137.94216317
2016-12-12 00:00:00+00:00,771.05,791.97,770.88,790.72,33149.88871631
2016-12-19 00:00:00+00:00,790.71,918.5,788.58,896.12,53216.10313733
2016-12-26 00:00:00+00:00,895.94,1000.0,890.0,992.95,45012.631222539996
2017-01-02 00:00:00+00:00,992.96,1175.0,802.07,923.33,83908.97302484
2017-01-09 00:00:00+00:00,922.04,923.98,734.64,833.31,63988.63926197
2017-01-16 00:00:00+00:00,833.43,946.25,826.03,931.22,35511.95583353
2017-01-23 00:00:00+00:00,929.45,931.33,880.0,916.54,28743.80167309
2017-01-30 00:00:00+00:00,916.56,1044.12,914.69,1016.32,38268.92483137
2017-02-06 00:00:00+00:00,1016.32,1079.0,925.0,1010.0,46990.71682949
2017-02-13 00:00:00+00:00,1009.99,1073.8,985.68,1059.88,34417.74489597
2017-02-20 00:00:00+00:00,1059.88,1221.93,1051.36,1184.91,48767.54330141
2017-02-27 00:00:00+00:00,1184.91,1298.61,1085.71,1278.98,48232.54391634
