origin_time,origin_price,origin_type,detector_name,quality_score,bar_index
2020-03-16 00:00:00+00:00,4432.3,low,zigzag_pct20.0,1.0,1701
2020-08-17 00:00:00+00:00,12486.61,high,zigzag_pct20.0,1.0,1855
2020-09-05 00:00:00+00:00,9813.0,low,zigzag_pct20.0,1.0,1874
2021-01-03 00:00:00+00:00,34810.0,high,zigzag_pct20.0,1.0,1994
2021-01-04 00:00:00+00:00,27678.0,low,zigzag_pct20.0,1.0,1995
2021-01-08 00:00:00+00:00,41986.37,high,zigzag_pct20.0,1.0,1999
2021-01-11 00:00:00+00:00,30100.0,low,zigzag_pct20.0,1.0,2002
2021-01-14 00:00:00+00:00,40127.66,high,zigzag_pct20.0,1.0,2005
2021-01-22 00:00:00+00:00,28732.0,low,zigzag_pct20.0,1.0,2013
2021-02-21 00:00:00+00:00,58367.0,high,zigzag_pct20.0,1.0,2043
2021-02-28 00:00:00+00:00,43016.0,low,zigzag_pct20.0,1.0,2050
2021-04-14 00:00:00+00:00,64899.0,high,zigzag_pct20.0,1.0,2095
2021-04-25 00:00:00+00:00,47044.01,low,zigzag_pct20.0,1.0,2106
2021-05-10 00:00:00+00:00,59592.2,high,zigzag_pct20.0,1.0,2121
2021-05-19 00:00:00+00:00,30000.0,low,zigzag_pct20.0,1.0,2130
2021-05-20 00:00:00+00:00,42605.0,high,zigzag_pct20.0,1.0,2131
2021-05-23 00:00:00+00:00,31111.0,low,zigzag_pct20.0,1.0,2134
2021-05-26 00:00:00+00:00,40900.0,high,zigzag_pct20.0,1.0,2137
2021-06-08 00:00:00+00:00,31004.95,low,zigzag_pct20.0,1.0,2150
2021-06-15 00:00:00+00:00,41322.55,high,zigzag_pct20.0,1.0,2157
2021-06-22 00:00:00+00:00,28800.0,low,zigzag_pct20.0,1.0,2164
2021-06-29 00:00:00+00:00,36675.0,high,zigzag_pct20.0,1.0,2171
2021-07-20 00:00:00+00:00,29301.56,low,zigzag_pct20.0,1.0,2192
2021-09-07 00:00:00+00:00,52944.96,high,zigzag_pct20.0,1.0,2241
2021-09-21 00:00:00+00:00,39600.0,low,zigzag_pct20.0,1.0,2255
2021-11-10 00:00:00+00:00,69000.0,high,zigzag_pct20.0,1.0,2305
2021-12-04 00:00:00+00:00,42333.0,low,zigzag_pct20.0,1.0,2329
2021-12-27 00:00:00+00:00,52100.0,high,zigzag_pct20.0,1.0,2352
